country	Visitors	Pageviews	Bounce Rate	Duration
US	9223	59081	67%	9m 24s
CN	2566	2680	98%	3s
GB	589	1179	67%	40s
DE	513	1523	61%	1m 43s
AU	385	2260	49%	4m 39s
IR	325	333	98%	1s
CA	275	488	64%	17s
VN	240	246	98%	2s
IN	238	377	80%	25s
FR	220	472	70%	1m 01s
NL	172	235	87%	18s
BR	155	234	88%	31s
CH	144	351	67%	1m 41s
IT	135	248	53%	45s
BE	132	688	36%	4m 31s
UA	125	128	99%	1s
PL	104	150	90%	22s
SG	95	143	92%	8s
ES	94	158	76%	33s
BD	70	76	96%	5s
KE	66	107	77%	32s
JP	62	160	69%	54s
HK	56	68	91%	7s
SE	51	75	88%	21s
RO	50	52	98%	1s
RU	49	71	86%	11s
ZA	44	70	78%	18s
KR	39	64	79%	57s
TR	38	48	87%	6s
MX	34	49	86%	18s
AR	33	41	94%	4s
AT	32	45	82%	10s
NO	28	37	82%	5s
CZ	27	40	89%	1m 18s
IE	26	37	77%	3s
TW	22	46	80%	33s
MY	22	31	86%	5s
PT	22	45	83%	1m 55s
AE	21	48	76%	41s
PK	21	34	86%	22s
FI	19	24	84%	1s
TH	19	30	74%	18s
NZ	19	23	79%	21s
CO	18	18	100%	-
CL	17	25	88%	14s
HU	16	27	76%	31s
SA	16	32	88%	16s
ID	16	22	88%	45s
DK	15	16	93%	8s
PE	14	20	81%	10s
PH	14	17	93%	3s
NG	13	22	77%	6s
IQ	13	25	81%	1m 04s
IL	12	27	81%	2m 39s
ET	11	16	55%	9s
LU	11	11	100%	-
DZ	11	11	100%	-
BM	10	24	60%	2m 12s
GR	10	27	60%	44s
MA	10	15	90%	2m 48s
LT	10	10	100%	-
EG	9	11	78%	3s
AD	9	27	67%	9m 08s
AL	9	11	78%	7s
SN	8	18	67%	2m 39s
BY	8	8	100%	-
GE	8	8	100%	-
GM	7	12	57%	2m 59s
IS	6	6	100%	-
CM	6	6	100%	-
MD	6	6	100%	-
JO	6	14	83%	1m 09s
EC	6	7	100%	-
VE	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
LK	5	15	60%	1m 23s
AS	5	8	60%	8s
BG	5	5	100%	-
PY	5	8	80%	22s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
PA	4	4	100%	-
KZ	4	4	100%	-
RS	4	5	75%	8s
MG	4	13	40%	59s
NP	4	4	100%	-
AO	4	4	100%	-
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
BH	3	9	33%	4m 09s
MU	3	4	67%	3s
QA	3	3	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
ML	2	2	100%	-
MN	2	22	0%	34s
LY	2	2	100%	-
RW	2	6	0%	58s
PR	2	2	100%	-
AZ	2	2	100%	-
DO	2	2	100%	-
UZ	2	2	100%	-
SC	2	2	100%	-
KW	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
SV	1	1	100%	-
UY	1	1	100%	-
