Page url	Visitors	Pageviews	Bounce rate	Time on Page
/	881	968	87%	39s
/data/organisms	58	95	43%	5m 14s
/about	41	43	100%	-
/data/assemblies	40	79	67%	1m 16s
/data/assemblies/GCF_045689255_1/differential-expression-analysis	29	37	88%	1s
/data/workflows	28	42	-	-
/roadmap	27	28	100%	-
/data/priority-pathogens	25	42	67%	20s
/learn	19	30	0%	6m 44s
/learn/featured-analyses/standardizing-rnaseq-candidozyma-auris	15	15	100%	-
/data/assemblies/GCA_030573285_1	12	15	78%	44s
/learn/getting-started	10	20	-	-
/assistant	8	11	100%	-
/data/assemblies/GCF_045689255_1	6	8	100%	-
/data/organisms/746128	6	7	0%	4s
/learn/featured-analyses/evolutionary-dynamics-of-coding-overlaps-in-measles	6	6	100%	-
/),	5	5	50%	-
/api/v1/assemblies/links/GCA_000002545.200	5	6	100%	-
/data/assemblies/GCA_013177555_1/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	5	5	60%	1s
/data/assemblies/GCA_013177555_1/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	5	5	100%	-
/data/organisms/1280	5	7	100%	-
/data/assemblies/GCA_000826245_1	4	5	100%	-
/data/assemblies/GCF_000002655_1	4	7	0%	5m 36s
/data/assemblies/GCF_000006565_2	4	5	100%	-
/data/organisms/5755	4	5	50%	1m 16s
/learn/faq	4	4	-	-
/learn/getting-started/overview	4	4	-	-
/data/assemblies/GCA_001008285_1	3	4	100%	-
/data/assemblies/GCA_009761555_1/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	3	3	100%	-
/data/assemblies/GCF_000002655_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	3	5	100%	-
/data/assemblies/GCF_000013425_1	3	5	-	-
/data/organisms/5833	3	3	-	-
/data/organisms/73230	3	3	-	-
/data/workflows/workflow-github-com-iwc-workflows-sars-cov-2-pe-illumina-artic-variant-calling-COVID-19-PE-ARTIC-ILLUMINA-versions-v0-5-4	3	3	100%	-
/learn/getting-started/common-workflows	3	4	-	-
/learn/getting-started/first-analysis	3	3	-	-
/data/assemblies/GCA_000002985_3	2	2	100%	-
/data/assemblies/GCA_000003225_1	2	2	100%	-
/data/assemblies/GCA_000003225_1/custom-workflow	2	2	0%	14m 32s
/data/assemblies/GCA_000149245_3	2	2	100%	-
/data/assemblies/GCA_000149445_2	2	2	100%	-
/data/assemblies/GCA_000150015_2	2	2	100%	-
/data/assemblies/GCA_000150145_1	2	2	50%	16s
/data/assemblies/GCA_000313135_1	2	4	-	-
/data/assemblies/GCA_000344635_1	2	2	100%	-
/data/assemblies/GCA_000400815_2/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v1-0	2	2	100%	-
/data/assemblies/GCA_000447475_1/custom-workflow	2	2	-	-
/data/assemblies/GCA_000773725_1	2	2	100%	-
/data/assemblies/GCA_000773755_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-v3-versions-v0-6-3	2	2	-	-
/data/assemblies/GCA_000773755_1/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	2	2	-	-
/data/assemblies/GCA_000775465_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	2	2	-	-
/data/assemblies/GCA_000784505_1	2	2	-	-
/data/assemblies/GCA_000784505_1/custom-workflow	2	2	-	-
/data/assemblies/GCA_000826305_1	2	2	-	-
/data/assemblies/GCA_014784225_2	2	2	100%	-
/data/assemblies/GCA_020501185_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	2	2	100%	-
/data/assemblies/GCA_023620155_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	2	2	100%	-
/data/assemblies/GCA_025766435_1/custom-workflow	2	2	-	-
/data/assemblies/GCA_025766445_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-v3-versions-v0-6-3	2	2	-	-
/data/assemblies/GCA_031319335_1/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	2	2	100%	-
/data/assemblies/GCA_032688725_1	2	2	-	-
/data/assemblies/GCA_032688725_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	2	2	-	-
/data/assemblies/GCA_037039665_1	2	2	-	-
/data/assemblies/GCA_037041175_1	2	2	-	-
/data/assemblies/GCA_037075405_1	2	2	100%	-
/data/assemblies/GCA_041438215_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	2	2	100%	-
/data/assemblies/GCA_047715655_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-v3-versions-v0-6-3	2	2	100%	-
/data/assemblies/GCA_051225625_1/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	2	2	100%	-
/data/assemblies/GCA_900093555_2	2	2	100%	-
/data/assemblies/GCA_900604375_1/custom-workflow	2	2	50%	12m 30s
/data/assemblies/GCA_916722125_1	2	2	100%	-
/data/assemblies/GCA_949152365_1	2	2	100%	-
/data/assemblies/GCF_000002765_6	2	3	-	-
/data/assemblies/GCF_000002765_6/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	2	2	-	-
/data/assemblies/GCF_000003515_1	2	2	100%	-
/data/assemblies/GCF_000006565_2/custom-workflow	2	3	-	-
/data/assemblies/GCF_000006765_1	2	2	100%	-
/data/assemblies/GCF_000012385_1	2	2	50%	21m 24s
/data/assemblies/GCF_000013425_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	2	4	-	-
/data/assemblies/GCF_000091045_1	2	2	100%	-
/data/assemblies/GCF_000165395_2	2	2	100%	-
/data/assemblies/GCF_000250985_1/workflow-github-com-iwc-workflows-hic-hicup-cooler-chic-fastq-to-cool-hicup-cooler-versions-v0-3	2	2	100%	-
/data/assemblies/GCF_000283915_1/workflow-github-com-iwc-workflows-chipseq-pe-main-versions-v1-0	2	2	100%	-
/data/assemblies/GCF_000349005_2	2	2	100%	-
/data/assemblies/GCF_000859285_1	2	2	-	-
/data/assemblies/GCF_000861265_1	2	2	100%	-
/data/assemblies/GCF_001293395_1/custom-workflow	2	2	50%	9m 31s
/data/assemblies/GCF_001647695_1	2	4	-	-
/data/assemblies/GCF_002204515_2	2	3	100%	-
/data/assemblies/GCF_002290485_1	2	2	50%	28s
/data/assemblies/GCF_004285195_1/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-2	2	2	0%	52m 06s
/data/organisms/1052685	2	2	100%	-
/data/organisms/1311	2	2	-	-
/data/organisms/176275	2	3	50%	1m 48s
/data/organisms/2955291	2	2	100%	-
/data/organisms/3047956	2	2	0%	27m 49s
/data/organisms/370111	2	2	0%	102m 12s
/data/organisms/45524	2	2	-	-
/data/organisms/5476	2	2	100%	-
/data/organisms/5868	2	4	-	-
/data/organisms/68886	2	2	100%	-
/data/organisms/7160	2	2	100%	-
/data/priority-pathogens/sars-cov-2	2	2	-	-
/data/workflows/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	2	2	-	-
/data/workflows/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-cool-hicup-cooler-versions-v0-3	2	4	-	-
/data/workflows/workflow-github-com-iwc-workflows-sars-cov-2-pe-illumina-wgs-variant-calling-COVID-19-PE-WGS-ILLUMINA-versions-v0-2-4	2	2	-	-
/learn/featured-analyses	2	2	-	-
/learn/using-galaxy	2	2	-	-
/)	1	1	-	-
/).	1	1	0%	-
/api/v1/assemblies/links/GCA_000002545.2000	1	1	100%	-
/api/v1/assemblies/links/GCA_000002655.100	1	1	0%	3m 36s
/api/v1/assemblies/links/GCF_009914755.1	1	1	100%	-
/calendar	1	1	100%	-
/data/[entityListType]/[entityId]	1	1	-	-
/data/[entityListType]/[entityId]/[trsId]	1	1	100%	-
/data/assemblies/GCA_000002825_3	1	1	100%	-
/data/assemblies/GCA_000002985_3/custom-workflow	1	1	100%	-
/data/assemblies/GCA_000002985_3/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	1	1	100%	-
/data/assemblies/GCA_000002985_3/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-2	1	1	-	-
/data/assemblies/GCA_000003225_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	-	-
/data/assemblies/GCA_000149205_2	1	1	100%	-
/data/assemblies/GCA_000149245_3/custom-workflow	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-atacseq-main-versions-v1-0	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-chipseq-pe-main-versions-v1-0	1	1	-	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v1-0	1	1	-	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-consensus-peaks-consensus-peaks-atac-cutandrun-versions-v1-3	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-v3-versions-v0-6-3	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-hic-hicup-cooler-chic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	-	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	-	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-pairs-hicup-versions-v0-3	1	1	-	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	1	1	100%	-
/data/assemblies/GCA_000149245_3/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-2	1	1	100%	-
/data/assemblies/GCA_000149445_2/custom-workflow	1	1	0%	504m 32s
/data/assemblies/GCA_000149445_2/workflow-github-com-iwc-workflows-chipseq-pe-main-versions-v1-0	1	1	-	-
/data/assemblies/GCA_000149445_2/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	1	1	-	-
/data/assemblies/GCA_000149445_2/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-v3-versions-v0-6-3	1	1	-	-
/data/assemblies/GCA_000149445_2/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	1	1	-	-
/data/assemblies/GCA_000149445_2/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	1	1	-	-
/data/assemblies/GCA_000149445_2/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-2	1	1	-	-
/data/assemblies/GCA_000149715_2	1	1	100%	-
/data/assemblies/GCA_000149865_1	1	1	-	-
/data/assemblies/GCA_000150015_2/custom-workflow	1	1	100%	-
/data/assemblies/GCA_000150115_1	1	1	100%	-
/data/assemblies/GCA_000150145_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	1	1	-	-
/data/assemblies/GCA_000150145_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	1	1	-	-
/data/assemblies/GCA_000150585_1/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v0-15	1	1	-	-
/data/assemblies/GCA_000151065_3	1	1	100%	-
/data/assemblies/GCA_000151175_1	1	1	100%	-
/data/assemblies/GCA_000151295_1/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v1-0	1	1	-	-
/data/assemblies/GCA_000182965_3	1	1	-	-
/data/assemblies/GCA_000188675_2	1	1	100%	-
/data/assemblies/GCA_000193105_1	1	2	-	-
/data/assemblies/GCA_000193105_1/differential-expression-analysis	1	1	-	-
/data/assemblies/GCA_000193105_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	1	1	-	-
/data/assemblies/GCA_000203795_2	1	3	-	-
/data/assemblies/GCA_000203795_2/custom-workflow	1	2	-	-
/data/assemblies/GCA_000203795_2/workflow-github-com-iwc-workflows-chipseq-pe-main-versions-v1-0	1	1	100%	-
/data/assemblies/GCA_000203795_2/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v1-0	1	1	100%	-
/data/assemblies/GCA_000203795_2/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	100%	-
/data/assemblies/GCA_000224805_2	1	1	100%	-
/data/assemblies/GCA_000224825_2	1	1	100%	-
/data/assemblies/GCA_000224905_2	1	1	100%	-
/data/assemblies/GCA_000227395_2/workflow-github-com-iwc-workflows-chipseq-pe-main-versions-v0-15	1	1	-	-
/data/assemblies/GCA_000227395_2/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v0-15	1	1	0%	45m 22s
/data/assemblies/GCA_000227395_2/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	1	1	-	-
/data/assemblies/GCA_000230595_3	1	1	100%	-
/data/assemblies/GCA_000231115_1/workflow-github-com-iwc-workflows-hic-hicup-cooler-chic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	-	-
/data/assemblies/GCA_000231115_1/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	-	-
/data/assemblies/GCA_000237925_2	1	1	100%	-
/data/assemblies/GCA_000239835_2	1	1	100%	-
/data/assemblies/GCA_000240135_3	1	1	100%	-
/data/assemblies/GCA_000256725_2	1	1	100%	-
/data/assemblies/GCA_000275845_1	1	1	100%	-
/data/assemblies/GCA_000302655_1	1	1	100%	-
/data/assemblies/GCA_000303195_2	1	1	100%	-
/data/assemblies/GCA_000313135_1/workflow-github-com-iwc-workflows-atacseq-main-versions-v1-0	1	1	-	-
/data/assemblies/GCA_000320605_2	1	1	100%	-
/data/assemblies/GCA_000320605_2/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	100%	-
/data/assemblies/GCA_000325525_2	1	1	100%	-
/data/assemblies/GCA_000338675_2	1	1	100%	-
/data/assemblies/GCA_000344635_1/custom-workflow	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-atacseq-main-versions-v1-0	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-chipseq-pe-main-versions-v1-0	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-chipseq-sr-main-versions-v1-0	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-consensus-peaks-consensus-peaks-atac-cutandrun-versions-v1-3	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	1	1	0%	9m 49s
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-v3-versions-v0-6-3	1	1	0%	25m 50s
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	-	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-hic-hicup-cooler-chic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-cool-hicup-cooler-versions-v0-3	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-hic-hicup-cooler-hic-fastq-to-pairs-hicup-versions-v0-3	1	1	100%	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	1	1	-	-
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	1	1	0%	6m 36s
/data/assemblies/GCA_000344635_1/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-2	1	1	100%	-
