Page url	Visitors	Pageviews	Bounce rate	Time on Page
/	5296	8275	58%	2m 41s
/data/organisms	2244	4269	57%	2m 49s
/data/assemblies	885	1878	57%	2m 51s
/roadmap	600	782	73%	1m 31s
/about	590	839	67%	2m 24s
/data/priority-pathogens	273	471	34%	2m 09s
/data/organisms/GCA_001189475_1	159	212	73%	3m 20s
/data/assemblies/GCA_000826245_1	123	198	59%	4m 28s
/),	111	197	7%	2m 50s
/data/assemblies/GCF_000005575_2	103	186	53%	1m 15s
/data/organisms/5833	93	128	89%	1m 33s
/data/organisms/65658	88	129	50%	33s
/data/organisms/7165	87	166	20%	6m 07s
/calendar	84	100	65%	4s
/data/assemblies/GCA_001008285_1	84	142	25%	2m 19s
/data/organisms/746128	62	97	67%	1m 32s
/data/organisms/GCA_000002765_3	57	75	65%	33s
/data/organisms/5755	55	92	50%	11s
/data/assemblies/GCF_000002655_1	51	74	44%	8m 58s
/data/organisms/73230	51	69	20%	9s
/data/organisms/498019	51	84	50%	24s
/data/assemblies/GCA_001008285_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	49	70	50%	19m 11s
/data/assemblies/GCA_000826485_1	48	66	73%	12s
/learn/featured-analyses/evolutionary-dynamics-of-coding-overlaps-in-measles	44	72	75%	1m 24s
/data/organisms/5855	42	51	-	-
/data/organisms/3052345	42	86	50%	2m 48s
/data/organisms/43142	41	47	50%	2m 51s
/learn/featured-analyses	40	79	67%	4m 33s
/data/assemblies/GCF_000854845_1	39	80	0%	6s
/data/genomes	37	200	62%	2m 16s
/data/assemblies/GCA_021020595_1	37	53	79%	16s
/data/organisms/GCA_002775015_1	36	43	73%	3m 58s
/data/assemblies/GCF_000002765_6	35	50	-	-
/data/assemblies/GCA_002759435_3	33	56	100%	-
/data/organisms/5476	28	40	75%	3m 23s
/data/assemblies/GCA_000151295_1	27	58	33%	9m 33s
/data/assemblies/GCA_030573285_1	26	47	100%	-
/data/organisms/GCA_900093555_2	26	45	67%	1m 13s
/data/priority-pathogens/paramyxoviridae	26	49	0%	2s
/data/assemblies/GCA_000151295_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	25	43	100%	-
/data/organisms/10244	25	47	67%	26s
/data/organisms/2955291	24	37	83%	16s
/data/assemblies/GCF_000857045_1	23	33	-	-
/data/assemblies/GCF_000854845_1/workflow-github-com-iwc-workflows-generic-non-segmented-viral-variant-calling-main-versions-v0-1	23	40	100%	-
/data/organisms/196912	22	29	29%	1s
/data/assemblies/GCA_900093555_2	21	26	0%	4s
/data/priority-pathogens/filoviridae	21	23	-	-
/data/assemblies/GCA_000826265_1	20	24	100%	-
/data/priority-pathogens/sars-cov-2	20	23	0%	13m 04s
/data/organisms/28583	20	24	100%	-
/data/assemblies/GCF_000002415_2	19	25	50%	11s
/data/assemblies/GCF_000002445_2	19	19	20%	3m 21s
/data/priority-pathogens/aspergillus	19	24	0%	2s
/data/assemblies/GCF_000006565_2	18	27	-	-
/data/organisms/65661	18	21	100%	-
/data/priority-pathogens/candidozyma-candida-auris	18	22	-	-
/data/organisms/5207	18	32	-	-
/data/organisms/61605	17	18	-	-
/data/assemblies/GCF_003013715_1	17	26	0%	37s
/data/organisms/199306	16	25	-	-
/data/assemblies/GCA_030563865_1	16	23	100%	-
/data/assemblies/GCF_000313135_1	16	26	50%	4m 19s
/data/assemblies/GCA_000826305_1	15	18	100%	-
/data/assemblies/GCF_000182965_3	15	20	67%	6s
/data/organisms/89421	15	24	100%	-
/data/assemblies/GCF_045689255_1	15	17	92%	1s
/data/assemblies/GCF_013267415_1	15	22	100%	-
/data/assemblies/GCA_001430945_1	14	36	0%	2m 02s
/data/assemblies/GCA_001430945_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	14	28	50%	8m 38s
/data/assemblies/GCF_000195955_2	14	15	-	-
/data/assemblies/GCA_000826245_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	14	17	62%	2m 12s
/data/assemblies/GCF_001647695_1	14	22	100%	-
/data/organisms/5691	14	20	0%	40s
/data/organisms/5599	13	22	-	-
/data/assemblies/GCF_000001405_40	13	14	75%	55s
/data/assemblies/GCF_000854845_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	13	25	100%	-
/data/priority-pathogens/tuberculosis	13	14	0%	1s
/data/organisms/5811	13	19	0%	4m 19s
/data/assemblies/GCF_009858895_2	13	15	0%	2m 44s
/data/organisms/694009	13	15	0%	1m 44s
/data/organisms/GCA_003013715_2	13	13	100%	-
/data/assemblies/GCA_030573285_1/custom-workflow	13	15	50%	5m 22s
/data/organisms/1773	12	16	100%	-
/t	12	13	27%	18s
/data/assemblies/GCF_001642055_1	12	31	-	-
/data/organisms/GCA_002204515_1	12	12	43%	-
/data/assemblies/GCF_000002765_6/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	12	19	100%	-
/data/assemblies/GCF_001642055_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	11	23	100%	-
/data/assemblies/GCA_900093555_2/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	11	14	0%	2m 06s
/data/organisms/GCA_003014415_1	11	12	100%	-
/data/assemblies/GCF_943734735_2	11	16	0%	15s
/data/organisms/45524	11	14	100%	-
/data/genomes/GCF_943734735_2	11	18	50%	15m 03s
/data/assemblies/GCA_000826245_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-2	11	18	-	-
/data/assemblies/GCF_000851145_1	11	17	100%	-
/data/organisms/723287	11	22	0%	2m 02s
/data/assemblies/GCF_000149335_2	10	14	0%	14m 34s
/data/assemblies/GCA_021020605_1	10	10	100%	-
/data/assemblies/GCF_000006565_2/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	10	12	100%	-
/data/organisms/730	10	12	0%	2s
/data/organisms/2074759	10	15	0%	4m 00s
/data/assemblies/GCA_009761425_1	9	13	-	-
/data/organisms/GCA_000002415_2	9	11	33%	20m 12s
/data/assemblies/GCA_001875675_1	9	10	100%	-
/data/assemblies/GCA_000170175_2	9	10	-	-
/data/organisms/1866961	9	12	100%	-
/data/assemblies/GCA_000150145_1	9	10	-	-
/data/organisms/7159	9	10	100%	-
/data/assemblies/GCA_030573285_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	8	12	-	-
/data/assemblies/GCF_001647695_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	8	15	0%	25m 51s
/data/assemblies/GCA_001430935_1	8	14	-	-
/data/assemblies/GCA_001430935_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	8	11	-	-
/data/organisms/45573	8	9	100%	-
/data/organisms/5693	7	7	-	-
/data/priority-pathogens/flaviviridae	7	8	0%	2s
/data/assemblies/GCA_001444175_2	7	7	100%	-
/data/assemblies/GCF_013267415_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	7	9	-	-
/data/organisms/5807	7	11	0%	1m 24s
/data/assemblies/GCF_000002415_2/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	7	10	-	-
/data/assemblies/GCA_900248155_1	7	9	83%	1s
/data/assemblies/GCA_001008285_1/custom-workflow	7	9	-	-
/data/organisms/5501	7	13	0%	54s
/data/assemblies/GCA_000826285_1	7	8	100%	-
/data/priority-pathogens/plasmodium-falciparum	7	7	100%	-
/data/assemblies/GCF_018416015_2	6	7	-	-
/data/assemblies/GCF_003013715_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	6	8	0%	21s
/data/organisms/9606	6	9	-	-
/data/organisms/562	6	10	-	-
/data/assemblies/GCF_000001215_4	6	9	60%	22s
/data/assemblies/GCA_006247105_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	6	6	100%	-
/data/priority-pathogens/aspergillosis-aspergillus	6	10	100%	-
/data/organisms/GCA_000002445_1	6	9	-	-
/data/organisms/GCF_000006565_2	6	6	-	-
/data/assemblies/GCA_001598995_1	6	9	-	-
/data/assemblies/GCA_030563865_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	6	8	100%	-
/data/assemblies/GCA_030563865_1/custom-workflow	6	6	100%	-
/)	6	6	0%	-
/data/organisms/GCA_000149245_3	6	10	100%	-
/data/organisms/29196	6	7	-	-
/data/organisms/GCF_016920785_2	6	7	100%	-
/data/assemblies/GCF_000149245_1	6	9	-	-
/data/organisms/GCA_002926085_1	6	6	100%	-
/data/assemblies/GCA_000826245_1/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	6	7	-	-
/data/organisms/5660	5	7	-	-
/data/assemblies/GCF_000865725_1	5	5	100%	-
/data/organisms/5757	5	6	100%	-
/data/assemblies/GCA_000149445_2	5	5	-	-
/data/priority-pathogens/avian-influenza	5	8	-	-
/data/assemblies/GCA_000826425_1	5	6	100%	-
/data/assemblies/GCA_001008285_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	5	6	-	-
/data/assemblies/GCA_001598995_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	5	9	-	-
/data/organisms/287	5	8	-	-
