Page url	Visitors	Pageviews	Bounce rate	Time on Page
/	59	72	72%	3m 00s
/data/organisms	25	44	93%	1m 09s
/data/assemblies	12	19	100%	1m 33s
/data/priority-pathogens	10	13	83%	4s
/roadmap	6	6	100%	1s
/	5	5	60%	-
/data/assemblies/GCF_000854845_1/workflow-github-com-iwc-workflows-generic-non-segmented-viral-variant-calling-main-versions-v0-1	3	5	-	5m 39s
/about	3	3	-	2s
/data/assemblies/GCF_000854845_1	3	7	-	26s
/data/organisms/3052345	3	6	-	32s
/data/assemblies/GCA_008822115_3/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	2	2	0%	29s
/data/assemblies/GCA_000151295_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	2	2	100%	-
/data/priority-pathogens/flaviviridae	1	1	-	14s
/data/assemblies/GCA_000826245_1	1	2	-	12m 08s
/data/organisms/498019	1	1	-	-
/data/organisms/73230	1	2	-	1s
/data/organisms/5742	1	1	100%	-
/data/organisms/3052556	1	1	-	2s
/data/organisms/5858	1	1	-	1s
/data/assemblies/GCF_000006565_2/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-2	1	1	-	8m 24s
/data/assemblies/GCF_002950395_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	-	1s
/data/assemblies/GCF_000862705_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	2	-	26m 18s
/data/priority-pathogens/paramyxoviridae	1	2	-	2s
/data/assemblies/GCF_000910675_1/workflow-github-com-iwc-workflows-generic-non-segmented-viral-variant-calling-main-versions-v0-1	1	1	-	24s
/data/organisms/43142	1	2	100%	-
/data/assemblies/GCF_000835755_1/workflow-github-com-iwc-workflows-cutandrun-main-versions-v0-14	1	1	100%	-
/data/organisms/28583	1	1	-	1s
/data/organisms/562	1	2	-	20s
/data/assemblies/GCA_001008285_1	1	5	-	45s
/data/assemblies/GCA_000826505_1	1	1	100%	-
/data/assemblies/GCA_001008285_1/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-2	1	1	100%	-
/data/assemblies/GCF_009858895_2/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	100%	-
/data/assemblies/GCF_000005845_2	1	1	-	5s
/data/assemblies/GCA_001008285_1/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	1	2	-	11s
/data/assemblies/GCA_000826245_1/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	1	1	-	29s
/data/assemblies/GCF_000910675_1	1	2	-	3s
/data/assemblies/GCF_000862705_1	1	1	-	2s
/data/assemblies/GCF_000006565_2/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-2	1	1	-	-
/data/assemblies/GCA_000151295_1	1	1	-	4s
/data/assemblies/GCF_000853505_1	1	1	100%	-
/data/assemblies/GCF_014199265_1	1	1	0%	24s
/data/assemblies/GCF_000018225_1	1	1	-	16s
/data/assemblies/GCF_000008865_2	1	1	-	20s
/data/assemblies/GCF_000005845_2/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-3	1	1	-	-
/data/organisms/5833	1	1	-	30s
/data/assemblies/GCF_900090045_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	1	-	-
/data/assemblies/GCF_000006565_2	1	2	-	4s
/data/assemblies/GCF_002950395_1/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	1	2	-	-
/data/assemblies/GCA_900248155_1	1	1	-	-
/data/organisms/783	1	2	0%	19s
/data/assemblies/GCF_900090045_1	1	1	-	8s
/data/organisms/659015	1	1	-	-
